인천공항 일별 시간대별 여객(2016~2019),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
일자,국내/국제,도착/출발,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
2016년 01월 19일,국제,출발,"1,848",394,0,0,168,0,0,312,"4,876","7,482","5,645","5,373","4,379","5,321","4,183","4,293","2,723","3,927","3,620","6,500","5,840","4,660","2,077",668
2016년 01월 20일,국내,도착,0,0,0,0,0,0,0,95,182,0,0,185,0,62,0,0,0,249,0,0,0,0,53,0
2016년 01월 20일,국내,출발,0,0,0,0,0,0,0,0,175,0,0,0,0,0,37,0,0,122,0,317,0,0,0,0
2016년 01월 20일,국제,도착,252,115,177,0,"1,778","4,212","5,413","4,658","3,573","2,850","1,581","4,070","3,633","3,368","3,762","6,776","6,829","7,297","4,833","3,676","4,339","3,228","1,456",450
2016년 01월 20일,국제,출발,"1,540",245,0,0,172,0,0,443,"5,150","7,966","7,049","5,625","4,132","5,548","4,965","5,702","3,167","3,309","4,499","6,955","7,719","5,214","3,749","1,445"
2016년 01월 21일,국내,도착,0,0,0,0,0,0,0,124,122,0,0,188,0,0,0,0,0,213,0,0,0,0,58,0
2016년 01월 21일,국내,출발,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,146,0,421,0,0,0,0
2016년 01월 21일,국제,도착,284,105,166,75,"2,390","4,629","6,019","4,407","4,512","2,437","1,902","4,054","3,022","3,429","4,602","5,282","6,174","7,943","6,227","4,297","3,595","3,327","1,016",178
2016년 01월 21일,국제,출발,"1,299",545,106,0,251,0,0,324,"6,022","7,690","7,080","5,618","2,824","5,229","5,023","4,141","3,177","3,085","4,271","6,781","7,455","4,165","2,869","1,741"
2016년 01월 22일,국내,도착,0,0,0,0,0,0,0,86,136,75,0,181,0,0,0,0,0,201,0,0,0,0,0,0
2016년 01월 22일,국내,출발,0,0,0,0,0,0,0,0,60,135,0,0,0,0,54,0,0,0,148,130,183,0,0,0
2016년 01월 22일,국제,도착,0,233,168,156,"2,551","6,115","6,302","3,331","3,184","2,931","2,351","4,028","3,786","3,474","4,302","6,601","7,373","8,174","5,500","4,569","4,439","2,043","1,909",491
2016년 01월 22일,국제,출발,"1,062",244,0,0,166,0,0,"1,249","4,742","8,579","6,328","6,157","4,240","4,759","4,584","5,114","3,329","4,339","2,935","6,928","6,521","5,824","2,965",320
2016년 01월 23일,국내,도착,0,0,0,0,0,0,0,93,93,102,0,181,0,0,0,0,0,127,0,0,0,0,0,0
2016년 01월 23일,국내,출발,0,0,0,0,0,0,0,0,216,0,0,0,0,0,60,0,0,174,0,134,0,184,0,0
2016년 01월 23일,국제,도착,240,0,173,375,"3,174","4,653","7,167","3,447","2,968","3,188","1,300","5,002","3,384","3,388","5,285","7,112","7,212","6,535","4,597","5,066","5,165","3,587","1,367",648
2016년 01월 23일,국제,출발,"1,699",249,0,0,167,323,0,506,"4,933","7,945","6,893","5,085","3,570","5,280","4,112","4,550","4,597","2,766","3,825","5,500","5,107","4,178","5,377","2,447"
2016년 01월 24일,국내,도착,0,0,0,0,0,0,0,104,163,0,0,179,0,0,0,0,0,215,0,0,0,0,0,0
2016년 01월 24일,국내,출발,0,0,0,0,0,0,0,0,59,0,0,0,0,34,0,0,0,0,181,294,0,0,0,0
2016년 01월 24일,국제,도착,238,0,179,0,"2,488","4,989","6,454","4,169","4,224","3,311","2,242","5,312","4,079","3,297","4,965","5,990","8,229","8,981","3,686","4,650","4,753","4,352","1,562",689
2016년 01월 24일,국제,출발,780,252,0,0,170,0,0,508,"4,270","6,662","7,329","5,352","3,979","5,306","5,157","4,603","4,336","3,412","4,495","6,680","6,361","4,999","3,886","1,479"
2016년 01월 25일,국내,도착,0,0,0,0,0,0,0,190,103,0,0,188,0,0,0,0,0,131,0,123,0,0,192,170
2016년 01월 25일,국내,출발,0,0,0,0,0,0,0,0,127,0,0,0,0,0,29,0,0,133,0,76,164,0,0,0
2016년 01월 25일,국제,도착,424,0,158,344,"2,359","6,368","6,429","3,344","4,220","2,503","2,376","5,078","3,554","3,390","4,623","6,680","6,170","7,332","5,672","4,734","3,609","2,935","1,496",184
2016년 01월 25일,국제,출발,"1,320",233,0,123,156,0,0,508,"5,174","8,603","5,295","6,646","3,579","4,792","4,922","4,672","3,927","3,365","3,237","6,939","6,203","5,150","2,070","1,387"
2016년 01월 26일,국내,도착,0,0,248,253,0,0,363,67,65,72,0,374,0,0,187,326,0,124,31,0,185,0,74,0
2016년 01월 26일,국내,출발,0,0,0,0,0,0,0,0,40,125,0,0,0,0,40,0,0,109,126,129,173,0,0,0
2016년 01월 26일,국제,도착,235,176,0,589,"3,007","4,646","5,861","4,799","3,413","2,084","1,365","4,216","3,281","2,784","2,974","4,443","6,535","7,620","6,427","4,154","4,483","4,360","1,718",483
2016년 01월 26일,국제,출발,"1,270",164,0,0,155,153,0,167,"1,175","4,293","5,668","6,018","5,686","5,440","5,910","4,752","3,313","3,321","3,386","6,032","5,397","4,223","3,174",631
2016년 01월 27일,국내,도착,0,0,0,0,0,0,0,88,75,89,0,158,0,92,0,0,0,235,0,0,0,0,67,0
2016년 01월 27일,국내,출발,0,0,0,0,0,0,0,0,33,125,0,0,0,0,48,0,0,116,0,221,186,0,0,0
2016년 01월 27일,국제,도착,684,156,0,173,"2,275","4,639","5,835","4,131","2,326","3,605","2,611","3,868","4,106","4,312","4,050","6,705","7,232","6,752","5,592","4,083","4,459","4,083","1,242",349
2016년 01월 27일,국제,출발,"1,570",160,0,0,154,0,0,638,"4,433","6,582","7,308","5,544","4,450","4,836","4,516","4,486","4,012","4,075","3,420","5,416","6,651","4,607","3,325","2,426"
2016년 01월 28일,국내,도착,0,0,0,0,0,0,0,190,0,0,0,129,0,0,0,0,0,104,34,0,0,0,116,311
2016년 01월 28일,국내,출발,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,160,0,437,0,0,0,0
2016년 01월 28일,국제,도착,247,0,175,195,"1,870","5,069","6,943","3,468","3,966","2,520","2,019","5,222","2,554","4,068","4,674","6,475","5,662","8,099","5,911","4,697","4,376","2,633","1,341",182
2016년 01월 28일,국제,출발,"1,407",235,0,0,167,0,0,845,"5,071","7,733","6,449","5,178","3,574","4,542","4,122","4,469","3,423","3,218","2,840","6,429","6,377","4,560","3,330",927
2016년 01월 29일,국내,도착,0,0,0,0,0,0,0,94,0,60,48,176,0,0,0,0,0,201,0,0,0,0,0,0
2016년 01월 29일,국내,출발,0,0,0,0,0,0,0,0,131,0,0,0,0,0,40,0,0,0,169,315,0,0,0,0
2016년 01월 29일,국제,도착,121,246,179,512,"2,276","5,479","6,915","3,812","3,385","2,837","2,248","5,213","4,005","3,271","4,347","6,790","7,613","7,980","5,851","4,249","4,657","2,452","1,435",183
2016년 01월 29일,국제,출발,913,216,0,307,139,0,0,"1,048","5,482","7,315","4,775","5,899","4,361","5,430","4,508","5,215","2,932","3,356","3,222","6,277","5,854","5,020","3,402",622
2016년 01월 30일,국내,도착,0,0,0,0,0,0,0,148,85,0,0,167,0,0,0,0,0,176,0,0,0,0,94,0
2016년 01월 30일,국내,출발,0,0,0,0,0,0,0,0,156,0,0,0,0,0,92,0,0,184,0,351,0,0,0,0
2016년 01월 30일,국제,도착,707,0,179,221,"3,094","5,325","5,693","4,295","3,707","3,019","1,798","5,127","3,793","3,476","4,731","7,490","6,597","8,013","4,938","5,287","4,413","2,953","1,008",315
2016년 01월 30일,국제,출발,"1,420",375,0,0,150,0,0,388,"4,594","7,311","7,112","5,089","3,789","5,001","4,839","4,489","4,407","3,280","3,219","5,797","5,432","4,133","3,087","1,019"
2016년 01월 31일,국내,도착,0,0,0,0,0,0,0,62,0,113,0,179,0,0,0,0,0,158,0,0,0,0,115,0
2016년 01월 31일,국내,출발,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,184,243,180,0,0,0
2016년 01월 31일,국제,도착,276,0,167,78,"3,151","5,191","6,474","4,419","4,208","3,182","1,718","5,125","3,652","4,266","4,217","7,899","7,224","10,102","4,956","4,815","4,713","4,021","1,446",468
2016년 01월 31일,국제,출발,980,194,0,0,154,0,0,945,"4,668","6,557","7,117","4,512","4,863","5,421","4,080","5,202","3,560","4,335","3,014","6,386","5,766","4,310","3,133","1,443"
2016년 02월 01일,국내,도착,0,0,0,0,0,0,0,131,43,0,0,141,0,0,0,0,112,30,0,0,0,0,0,0
2016년 02월 01일,국내,출발,0,0,0,0,0,0,0,0,193,0,0,0,0,0,15,0,0,147,0,259,0,0,0,0
2016년 02월 01일,국제,도착,228,0,169,0,"3,350","4,461","6,461","4,041","3,309","2,562","1,964","5,086","3,891","3,375","3,976","6,723","5,670","8,336","5,035","3,579","4,425","2,276","1,773",285
2016년 02월 01일,국제,출발,"1,389",217,0,0,156,0,0,497,"4,924","7,864","5,615","5,538","2,681","5,202","4,819","4,198","2,751","3,447","2,642","6,112","5,188","4,038","2,165",805
2016년 02월 02일,국내,도착,0,0,0,0,0,0,0,93,61,0,0,164,0,0,0,0,0,91,0,0,0,0,105,0
2016년 02월 02일,국내,출발,0,0,0,0,0,0,0,0,161,0,0,0,0,0,40,0,0,162,0,355,0,0,0,0
2016년 02월 02일,국제,도착,184,0,321,676,"2,575","4,539","6,161","2,882","3,080","2,400","1,325","4,826","2,657","3,559","3,050","6,034","6,511","7,951","3,622","4,950","3,496","2,295","1,029",177
2016년 02월 02일,국제,출발,"1,223",202,0,0,125,0,0,516,"4,544","7,242","4,766","4,378","3,662","4,320","3,998","4,220","1,512","3,849","3,025","5,933","4,267","3,825","1,266",208
2016년 02월 03일,국내,도착,0,0,0,0,0,0,0,63,65,58,0,128,0,42,0,0,0,132,0,0,0,72,0,0
2016년 02월 03일,국내,출발,0,0,0,0,0,0,0,0,165,0,0,0,0,0,51,0,0,180,0,416,0,0,0,0
2016년 02월 03일,국제,도착,241,0,171,160,"3,144","4,049","6,679","2,126","3,264","1,470","1,119","4,646","3,638","3,816","3,352","6,002","7,511","6,664","4,806","3,283","2,974","3,207","1,282",324
2016년 02월 03일,국제,출발,"1,422",229,0,0,118,0,0,524,"4,010","6,239","6,178","4,068","3,923","4,101","5,032","4,463","4,577","2,897","3,385","6,166","6,862","4,721","3,245","1,332"
2016년 02월 04일,국내,도착,0,0,0,0,0,0,0,66,118,0,0,181,0,0,0,0,0,199,0,0,0,0,77,0
2016년 02월 04일,국내,출발,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,180,0,494,0,0,0,0
2016년 02월 04일,국제,도착,551,0,171,365,"1,558","4,644","5,947","2,704","3,004","2,727","1,985","4,155","2,951","3,005","3,972","6,367","6,909","7,070","3,777","3,740","3,970","3,455",810,172
2016년 02월 04일,국제,출발,"1,864",566,0,0,142,0,0,891,"4,098","7,054","6,625","5,801","3,708","5,084","4,703","5,497","3,777","3,459","4,222","7,434","6,127","4,460","3,363","1,486"
2016년 02월 05일,국내,도착,0,0,0,0,0,0,0,88,91,99,0,170,0,0,0,0,185,57,0,0,0,1,0,0
2016년 02월 05일,국내,출발,0,0,0,0,0,0,0,0,226,0,0,0,0,0,102,0,0,419,0,317,0,0,0,0
2016년 02월 05일,국제,도착,231,174,0,244,"3,162","4,714","5,205","3,229","3,417","1,769","1,947","5,086","2,378","4,211","3,260","6,002","5,870","7,183","4,374","3,912","3,362","2,834","1,255",166
2016년 02월 05일,국제,출발,"1,790",260,0,0,152,0,0,634,"5,525","8,299","7,085","6,638","4,243","5,772","5,309","5,712","2,883","4,778","3,635","7,884","6,626","5,264","4,295","2,025"
2016년 02월 06일,국내,도착,0,0,0,0,0,0,0,94,131,110,0,188,0,0,0,0,0,261,0,0,0,0,49,0
2016년 02월 06일,국내,출발,0,0,0,0,0,0,0,0,562,0,0,0,0,0,113,0,289,190,0,561,0,0,0,0
2016년 02월 06일,국제,도착,203,309,335,524,"1,948","5,116","6,385","4,168","2,869","2,180","1,733","4,466","3,758","3,608","4,621","5,972","5,044","4,307","5,961","4,354","3,107","3,004","1,331",155
2016년 02월 06일,국제,출발,"1,342",261,149,335,180,138,306,"1,468","6,896","8,262","8,448","5,791","4,878","7,116","5,782","4,736","5,211","4,452","4,306","7,955","7,106","5,079","4,686","2,460"
2016년 02월 07일,국내,도착,0,0,0,0,0,0,0,206,0,0,41,146,0,0,0,0,112,69,0,0,0,0,42,0
2016년 02월 07일,국내,출발,0,0,0,0,0,0,0,0,549,0,0,0,0,0,0,0,0,173,0,274,180,0,0,0
2016년 02월 07일,국제,도착,203,0,174,152,"2,522","4,800","5,729","3,634","3,274","1,777","2,481","4,263","2,253","3,162","3,710","5,675","6,122","6,124","3,577","3,747","2,968","2,551",774,164
2016년 02월 07일,국제,출발,"1,479",255,0,305,174,0,301,"1,845","5,358","8,206","7,442","5,582","3,901","4,685","5,156","5,180","3,355","3,765","4,544","7,018","6,428","5,300","2,059","1,090"
2016년 02월 08일,국내,도착,0,0,0,0,0,0,0,74,54,0,0,115,0,0,0,0,138,144,0,0,0,0,0,0
2016년 02월 08일,국내,출발,0,0,0,0,0,0,0,0,144,0,0,0,0,0,35,0,0,52,0,223,0,0,0,0
2016년 02월 08일,국제,도착,161,177,171,236,"2,651","3,838","5,588","2,600","3,598","1,361","2,229","3,667","2,848","2,646","4,017","4,926","5,285","5,720","3,430","3,821","3,629","2,717","1,029",178
2016년 02월 08일,국제,출발,"1,426",210,134,0,129,0,0,632,"5,008","4,933","5,768","4,522","3,004","3,746","3,353","3,688","2,486","3,394","3,644","6,334","6,046","5,109","2,334","1,076"
2016년 02월 09일,국내,도착,0,0,0,0,0,0,0,152,79,68,0,186,0,0,0,0,134,137,0,292,0,0,262,0
2016년 02월 09일,국내,출발,0,0,0,0,0,0,0,0,153,0,0,0,0,0,60,0,242,174,0,448,0,0,0,0
2016년 02월 09일,국제,도착,326,149,176,492,"3,512","4,735","6,527","1,542","4,182","2,422","1,374","4,203","2,709","3,999","3,822","5,500","6,714","8,515","5,074","5,632","3,902","2,909","1,140",395
2016년 02월 09일,국제,출발,"1,297",0,247,0,157,0,0,653,"6,059","7,395","5,529","4,647","2,721","4,050","3,517","4,345","2,182","2,735","4,040","6,615","5,568","4,270","2,129",697
2016년 02월 10일,국내,도착,0,0,0,0,0,0,0,190,56,0,0,163,0,166,0,0,0,181,140,0,0,0,293,0
2016년 02월 10일,국내,출발,0,0,0,0,0,0,0,0,239,0,0,0,0,0,65,0,0,139,0,312,179,0,0,0
